State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Arrivals_Qtl
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-15,2335,2972,2654,316
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-14,2368,3015,2692,112
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-13,2372,3019,2696,332
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-12,2362,3007,2685,371
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-11,2383,3032,2708,796
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-10,2386,3037,2712,194
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-09,2376,3024,2700,372
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-08,2376,3024,2700,235
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-07,2370,3017,2694,684
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-06,2386,3037,2712,790
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-05,2328,2963,2646,560
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-04,2340,2979,2660,595
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-03,2359,3002,2681,163
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-02,2283,2906,2595,163
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-01,2295,2922,2609,519
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-07-31,2251,2864,2558,734
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-07-30,2292,2917,2605,681
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-07-29,2266,2884,2575,383
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-07-28,2228,2835,2532,706
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-26,1252,1593,1423,650
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-25,1258,1601,1430,684
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-24,1303,1658,1481,436
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-23,1302,1657,1480,574
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-22,1311,1668,1490,241
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-21,1302,1657,1480,240
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-20,1327,1690,1509,510
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-19,1378,1753,1566,632
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-18,1365,1738,1552,641
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-17,1370,1743,1557,107
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-16,1415,1802,1609,299
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-15,1410,1795,1603,634
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-14,1406,1789,1598,616
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-13,1386,1765,1576,126
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-12,1427,1816,1622,435
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-11,1442,1835,1639,118
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-10,1379,1756,1568,271
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-09,1413,1798,1606,422
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-08,1408,1793,1601,550
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-07,1393,1774,1584,277
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-06,1371,1746,1559,164
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-05,1353,1722,1538,267
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-04,1364,1736,1550,423
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-03,1327,1690,1509,274
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-08-02,1378,1755,1567,111
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-08-01,1324,1685,1505,655
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-07-31,1299,1654,1477,487
Maharashtra,Nashik,Pimpalgaon,Potato,Kufri,FAQ,2026-07-30,1315,1674,1495,782
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-07-29,1249,1590,1420,649
Maharashtra,Nashik,Pimpalgaon,Potato,Jyoti,FAQ,2026-07-28,1283,1632,1458,663
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-26,3815,4856,4336,450
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-25,3791,4824,4308,563
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-24,3841,4888,4365,114
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-23,3865,4920,4393,632
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-22,3899,4962,4431,182
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-21,3871,4926,4399,312
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-20,3880,4939,4410,661
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-19,3917,4986,4452,507
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-18,3894,4956,4425,655
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-17,3965,5046,4506,308
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-16,3908,4975,4442,599
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-15,3934,5007,4471,140
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-14,3949,5026,4488,787
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-13,3953,5032,4493,164
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-12,3965,5046,4506,515
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-11,3984,5071,4528,388
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-10,3989,5078,4534,198
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-09,3923,4994,4459,661
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-08,3938,5012,4475,257
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-07,3914,4981,4448,779
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-06,3933,5006,4470,331
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-05,3899,4962,4431,789
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-04,3951,5028,4490,617
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-03,3945,5020,4483,537
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-08-02,3904,4969,4437,100
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-08-01,3889,4950,4420,197
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-07-31,3858,4911,4385,155
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-07-30,3857,4910,4384,467
Maharashtra,Nashik,Pimpalgaon,Soyabean,Yellow,FAQ,2026-07-29,3842,4891,4367,442
Maharashtra,Nashik,Pimpalgaon,Soyabean,JS-335,FAQ,2026-07-28,3833,4878,4356,260
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-26,1606,2044,1825,458
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-25,1684,2143,1914,384
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-24,1688,2149,1919,314
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-23,1719,2188,1954,217
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-22,1679,2136,1908,641
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-21,1696,2159,1928,697
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-20,1707,2172,1940,193
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-19,1779,2264,2022,629
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-18,1783,2270,2027,292
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-17,1771,2254,2013,177
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-16,1803,2294,2049,263
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-15,1810,2303,2057,754
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-14,1810,2303,2057,449
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-13,1823,2320,2072,436
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-12,1832,2331,2082,359
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-11,1786,2273,2030,167
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-10,1771,2254,2013,231
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-09,1830,2329,2080,207
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-08,1813,2308,2061,502
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-07,1802,2293,2048,258
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-06,1789,2278,2034,741
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-05,1751,2228,1990,566
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-08-04,1730,2203,1967,675
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-03,1776,2261,2019,720
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-02,1723,2194,1959,653
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-08-01,1717,2186,1952,131
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-07-31,1708,2173,1941,254
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-07-30,1669,2124,1897,645
Maharashtra,Nashik,Pimpalgaon,Maize,Hybrid,FAQ,2026-07-29,1701,2166,1934,601
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,FAQ,2026-07-28,1664,2117,1891,755
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-26,5754,7323,6539,605
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-25,5749,7318,6534,439
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-24,5742,7308,6525,763
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-23,5806,7389,6598,639
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-22,5822,7409,6616,583
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-21,5835,7426,6631,392
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-20,5811,7396,6604,123
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-19,5837,7430,6634,551
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-18,5844,7439,6642,517
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-17,5888,7495,6692,171
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-16,5857,7454,6656,587
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-15,5892,7499,6696,463
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-14,5894,7501,6698,497
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-13,5876,7479,6678,390
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-12,5882,7487,6685,428
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-11,5875,7478,6677,516
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-10,5875,7478,6677,712
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-09,5879,7482,6681,600
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-08,5891,7498,6695,663
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-07,5898,7507,6703,228
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-06,5866,7467,6667,456
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-05,5867,7468,6668,757
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-04,5864,7463,6664,205
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-03,5840,7433,6637,186
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-02,5800,7383,6592,779
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-08-01,5821,7408,6615,353
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-07-31,5816,7403,6610,694
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-07-30,5816,7403,6610,235
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-07-29,5784,7361,6573,121
Maharashtra,Nashik,Pimpalgaon,Cotton,Medium Staple,FAQ,2026-07-28,5745,7312,6529,263
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-26,264,336,300,759
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-25,264,336,300,230
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-24,264,336,300,114
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-23,266,339,303,634
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-22,273,348,311,121
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-21,320,407,364,629
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-20,332,423,378,265
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-19,351,446,399,203
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-18,365,464,415,429
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-17,320,407,364,255
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-16,325,414,370,433
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-15,359,456,408,115
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-14,344,437,391,415
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-13,379,482,431,766
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-12,399,508,454,320
Maharashtra,Nashik,Pimpalgaon,Sugarcane,Co-86032,FAQ,2026-08-11,374,477,426,398
